author_id;author_name
3;Cecelia Mecca
4;Ana Maria Spagna
5;Mark Vanhoenacker
6;Jen Gale
7;Giles Chapman
10;Brian Cosgrove
17;David Nash
18;Mike Gould
19;Cy Tymony
20;Haynes Publishing
21;Peter Walker
22;Greg Rossel
23;Kate Humble
24;Isaac Martin
25;Creek Stewart
26;Simon Garfield
27;Justin S Willamson
28;John Mellor
29;Steve Scott
30;Juval Aviv
31;Luke Powell
36;Darcy Olsen
37;Graham Stoakes
39;Department of the Army
40;Tom Cunliffe
41;Phillip M Stephens
44;Anna Pallai
45;Susan Armstrong
46;Alastair Buchan
47;Sheryl Eberly
49;C P Bailey
50;Leonardo Acerbi
51;Jim Nestor
52;Safe Havens International
53;Matt Strong
54;Zenobia C. y. Chan
55;Vaeni Mac Donnell
59;How2Become
63;Margot Lee Shetterly
64;Marcia Mihotich
65;Anonymous
66;Federal Aviation Administration (FAA)
67;Rogue Plus Publishing
68;John Browne
69;Dee Hockenberry
70;Leon Pantenburg
71;Damian Brindle
72;Richard Holdener
73;Workman Calendars
74;Mary Lou Darling
79;Catherine Pez
80;World Health Organization
84;Susan North
85;Lora McNeil
86;Baylee Noel
87;Karl E Ludvigsen
88;Jessica Ress
91;Matthew Reed
92;Malcolm Nunney
93;Miles Redd
94;Jason Hanson
95;Patrick R. Foster
96;Brian John Heard
97;Rick Searle
98;Costas Douzinas
99;Kenny B a Hardwood
100;Dr Jane Wilson-Howarth
101;Don Casey
107;Creative Fusion Diaries
108;Daniela Turudich
110;James Kavanagh
111;Jennifer Saunders
114;Polly Higgins
118;Annie Besant
122;Happy Art Press
123;Really Useful
124;James Heath
127;David Larkin
131;James Massola
132;Inazo Nitobe
135;David Clark
136;Universal Personal Organiser
137;Khalid Belkhanchi
138;Emma
142;Calendar Gal Press
143;Brian Runion
144;Darwin Holmstrom
145;Amy Alkon
146;Minimal Organized Style
147;Arnold Bennett
148;Robert B. Zubaly
151;Chair Chen
152;Melanie Mannarino
154;Pat Manley
155;Kaplan Test Prep
156;Shawndra Holmberg Cpo-CD
157;Thom Disch
158;Yogi Ramacharaka
159;Charles Wing
160;Steven Emanuel
161;Todd Swatling
162;Carmen Canisius
163;Amyas Crump
164;Francesc Zamora Mola
165;A. Whitney Sanford
166;Dumai Ministries
167;Robert Marett
168;Mike Mavrigian
169;Anselmo Reyes
170;Jason Soft
171;Bruno Cenou
172;Robert Christ
173;Phaidon
174;Rae Zimmerman
175;Lynda Kuhl
178;Robert Hackford
181;Van McCoins
182;Usha Narayanan
183;Endecah
184;Jim Winchester
195;Adrian P. Mouritz
196;Mark Chimsky-Lustig
197;Ruth Owen
199;Kevin Colden
200;Martin W. Bowman
202;Wild Pages Press
203;Micheal Robbin
204;Ahmet Hamdi Tanpinar
205;Imray
207;Aisling McDermott
208;Shekez Printing
209;Lewis Falley Allen
210;Burke Mees
211;Ari Bendersky
212;My Pickleball Dink Edition
213;Creative Books Publishers
216;Alan Kistler
217;Moleskine
218;Craig A. Orrigo
221;Reading Smart
222;Jean Plaidy
223;Anna Herbich
224;George Bibel
225;Gabriel T Samuto
226;Microsoft Official Academic Course
227;Flame Tree Studio
232;Herbie J. Pilato
234;Paizo Staff
235;Val Pierce
238;Nick Lyons
241;Graham Robb
242;Taro Gomi
245;Sam Spencer
246;Babett Jacobs
