title;author_id;bestsellers-rank;imprint;publication-date;rating-avg;rating-count
The Mercenary : Order of the Broken Blade;3;51517;;17/09/2019;4.49;211
100 Skills You'll Need for the End of the World (as We Know It);4;162985;;05/05/2015;2.96;139
How to Land a Plane;5;41520;;21/09/2017;4.21;158
Skyfaring : A Journey with a Pilot;5;870385;;03/05/2016;3.94;2684
How to Land a Plane;5;882451;;30/04/2019;4.21;158
The Sustainable(ish) Living Guide : Everything you need to know to make small changes that make a big difference;6;3885;Green Tree;10/03/2020;0;0
Mini : 60 Years;7;75224;;09/05/2019;4.75;4
100 Cars Britain Can Be Proud Of;7;522932;;01/12/2010;4.33;6
Microlight Pilot's Handbook;10;108;;01/11/2013;4.38;26
Pilot's Weather : A commonsense approach to meteorology;10;215038;;09/04/2005;4.0;8
52 Unique Techniques for Stocking Food for Preppers : A Strategy a Week to Help Stock Your Pantry for Survival;17;454813;;04/08/2015;4.75;4
52 Prepper's Projects for Parents and Kids : A Project a Week to Help Prepare Your Child for the Unpredictable;17;2992297;;05/01/2016;4.0;1
Land Rover Defender;18;171512;;01/10/2016;4.0;1
Sneaky Green Uses for Everyday Things : How to Craft Eco-Garments and Sneaky Snack Kits, Create Green Cleaners, and More;19;493920;;17/03/2009;2.34;26
Sneaky Science Tricks : Perform Sneaky Mind-Over-Matter, Levitate Your Favorite Photos, Use Water to Detect Your Elevation;19;418144;;06/04/2010;3.71;14
Sneaky Math: A Graphic Primer with Projects : Ace the Basics of Algebra, Geometry, Trigonometry, and Calculus with Everyday Things;19;608514;;09/12/2014;3.77;9
Norton Commando (68 - 77);20;70;J H Haynes & Co Ltd;29/06/1990;0;0
Honda CB750 Sohc Four (69 - 79);20;258;J H Haynes & Co Ltd;29/06/1993;3.25;4
Moto Guzzi 750, 850 & 1000 V-Twins (74 - 78);20;421;J H Haynes & Co Ltd;29/06/1995;4.25;4
Haynes 2019 Desk Diary;20;471012;;23/10/2018;0;0
Haynes 2020 Desk Diary : January to December 2020;20;421879;J H Haynes & Co Ltd;27/08/2019;0;0
Yamaha XS750 & 850 Triples (76 - 85);20;1,015,971;J H Haynes & Co Ltd;01/08/1990;4.0;1
Toyota Pick-Ups/Land Cruiser/4Runner (89 - 96) (Chilton);20;871265;;19/06/2001;4.33;9
Yamaha RD400 Twin (75 - 79);20;913394;J H Haynes & Co Ltd;29/06/1989;0;0
VW Lt Petrol Vans & Light Trucks (76 - 87) Up To E;20;1045174;;01/09/1988;0;0
Suzuki TS50X (84 - 00);20;1187358;;01/03/1990;0;0
Honda CD/CM185 200T & CM250C 2-Valve Twins (77 - 85);20;1,111,061;;19/11/2004;3.0;1
Chevrolet Trailblazer/GMC Envoy;20;1099689;HAYNES MANUALS INC;25/07/2012;4.16;6
